Streamer,Unique Viewers,Community ID
xQcOW,"932,473",11
ibai,"882,296",32
Rubius,"787,632",32
shroud,"733,810",9
auronplay,"727,219",32
ESL_CSGO,"687,353",13
Trymacs,"678,572",169
tommyinnit,"660,344",4
NICKMERCS,"644,974",0
RanbooLive,"605,500",4
Tubbo,"589,066",4
MontanaBlack88,"573,836",169
TheGrefg,"531,197",32
LEC,"511,240",10
loltyler1,"504,751",10
TimTheTatman,"483,421",0
Gaules,"475,894",1
karljacobs,"473,201",4
Clix,"458,863",0
loud_bak,"448,028",1
summit1g,"446,566",11
Philza,"443,507",4
LCS,"435,722",10
QuackityHQ,"430,187",4
GeorgeNotFound,"428,156",4
pokimane,"417,247",29
dreamwastaken,"403,251",4
Sykkuno,"399,012",29
Chess,"395,935",107
RocketLeague,"389,701",53
juansguarnizo,"384,911",32
csgomc_ru,"377,967",13
Ninja,"374,235",9
sodapoppin,"366,658",11
ludwig,"364,035",107
GMHikaru,"359,460",107
loud_coringa,"348,181",1
BLASTPremier,"346,349",13
Symfuhny,"337,643",0
Tfue,"330,352",0
WilburSoot,"315,792",4
LCK_Korea,"307,701",15
Jelty,"306,581",32
LCK,"306,140",10
boxbox,"301,837",8
alanzoka,"294,736",1
Swagg,"292,831",0
Ray__C,"292,012",8
dota2mc_ru,"285,531",13
YoDa,"282,899",1
buddha,"282,287",8
HasanAbi,"280,709",11
Sapnap,"278,012",4
buster,"274,157",13
Ash_on_LoL,"273,641",8
StableRonaldo_,"270,627",0
Dyannatv,"270,085",8
Bugha,"261,275",0
Gotaga,"261,029",53
Papaplatte,"260,643",169
SerWinterOfficial,"258,583",8
moistcr1tikal,"253,011",107
AdinRoss,"249,177",0
TSM_ImperialHal,"247,477",9
hJune,"247,220",8
bchillz,"247,108",8
Hutnik,"244,081",8
Hiko,"243,613",9
Mizkif,"238,111",11
Aydan,"234,995",0
Elraenn,"233,522",143
CohhCarnage,"231,885",11
EmadGG,"231,076",0
Castro_1021,"230,590",138
LIRIK,"229,916",11
ZanoXVII,"223,948",155
HusKerrs,"222,794",0
ShivFPS,"219,911",9
Mongraal,"212,212",0
NickEh30,"209,994",0
forsen,"205,936",11
Posty,"205,736",8
Rekkles,"204,711",10
aceu,"201,767",9
trausi,"201,468",8
Mammoth,"201,324",8
k1ng,"200,135",32
pokelawls,"199,469",11
BadBoyHalo,"199,119",4
Domingo,"197,673",53
UNLOSTV,"197,667",143
JackManifoldTV,"197,501",4
DreamLeague,"195,785",13
CoconutB,"193,053",8
LVNDMARK,"192,738",11
Rogue,"188,224",9
KendineMuzisyen,"188,055",143
Maya,"187,721",11
benjyfishy,"187,617",0
TenZ,"185,444",9
Doublelift,"184,117",10
Fortnite,"183,897",0
EsfandTV,"183,577",11
wtcN,"180,807",143
Yassuo,"178,318",10
Nihachu,"178,227",4
Kamet0,"174,703",53
otplol_,"173,359",53
Blizzard,"172,902",11
winstrike_tv,"172,438",13
Greekgodx,"171,390",11
NOBRU,"170,982",1
elded,"170,150",32
RiotGamesBrazil,"164,189",1
Amar,"162,960",169
Sequisha,"162,632",8
SypherPK,"162,618",0
fps_shaka,"162,180",156
Lifestomper,"161,312",8
DrLupo,"158,127",11
ROSHTEIN,"157,593",169
Mayichi,"157,033",32
Fresh,"156,089",0
MOONMOON,"155,620",11
codemiko,"154,667",11
eliasn97,"154,235",169
ops1x,"154,180",0
Myth,"154,162",9
BotezLive,"153,559",107
CaptainPuffy,"153,475",4
itsHafu,"152,377",29
kato_junichi0817,"151,936",156
lilypichu,"149,317",29
MckyTV,"149,306",169
Welyn,"148,808",8
Fextralife,"148,614",11
cloakzy,"148,324",0
AustinShow,"148,231",4
Jahrein,"147,785",143
Squeezie,"147,472",53
Beaulo,"147,377",27
GRONKH,"145,144",169
Faker,"144,691",10
Quin69,"144,403",11
IlloJuan,"143,470",32
Ponce,"141,350",53
stylishnoob4,"141,085",156
TFBlade,"140,972",10
Jankos,"139,890",10
ELoTRiX,"139,031",169
Stray228,"139,004",13
Foolish__Gamers,"138,989",4
elxokas,"137,577",32
Trainwreckstv,"136,965",11
LyonWGFLive,"136,351",155
Alexby11,"136,013",32
mrstiventc,"135,721",32
PapoMC,"134,959",32
ESL_CSGOb,"133,694",13
MuTeX,"133,636",0
x2Twins,"133,267",0
Nmplol,"133,142",11
FlowPodcast,"132,724",1
DanTDM,"132,693",4
Maximilian_DOOD,"131,887",11
s1mple,"131,501",13
RiceGum,"130,678",0
Scarra,"129,316",29
lestream,"128,611",53
knekro,"128,370",32
5uppp,"127,697",29
LuluLuvely,"127,512",9
KingGeorge,"127,466",27
jean_mago,"125,850",1
Pestily,"125,820",11
nerdstgamers,"125,777",9
Llobeti4,"123,002",32
deercheerup,"122,887",1
Punz,"122,396",4
WARDELL,"122,024",9
fuslie,"121,305",29
TheStockGuy,"120,831",11
its_iron,"120,703",0
Sardoche,"119,911",53
sinatraa,"118,934",9
Kaydop,"118,037",53
Peereira7,"117,658",32
Locklear,"117,446",53
LEGOO,"117,168",143
coscu,"116,693",32
Flight23white,"116,320",0
IamCristinini,"115,683",32
tmxk319,"115,613",15
loud_thurzin,"115,288",1
FolagorLives,"115,117",32
imls,"115,014",10
Tumblurr,"114,783",155
Rainbow6,"114,073",27
EASPORTSFIFA,"114,046",138
RATIRL,"113,684",10
hanryang1125,"112,893",15
NoWay4u_Sir,"112,477",169
SilverName,"111,550",13
jukes,"111,417",1
Letshe,"110,633",0
awesamdude,"109,517",4
pqueen,"108,628",143
39daph,"108,625",29
TeeGrizzley,"108,482",0
csgomc_ru2,"108,178",13
Fundy,"107,572",4
sujagg,"107,215",32
handongsuk,"106,766",15
GothamChess,"106,398",107
LeBouseuh,"106,371",53
Gorgc,"106,136",13
Vicens,"105,996",32
Warframe,"105,169",11
NiKo,"104,934",13
unsympathisch_tv,"104,235",169
PUBG,"103,758",13
nl_Kripp,"103,374",10
SHADOWFRAX,"102,951",8
Dhalucard,"102,918",169
Cellbit,"102,448",1
Brawlhalla,"101,338",53
MissaSinfonia,"100,903",32
Natsumiii,"99,504",29
sneakylol,"99,487",10
LVPes,"99,392",32
Baiano,"98,685",1
dafran,"98,199",9
blanchitooo,"98,017",32
Recrent,"97,951",13
NASA,"96,680",11
Mandzio,"96,570",13
ZeratoR,"94,699",53
JaggerPrincesa,"93,370",32
saddummy,"92,320",15
peterparkTV,"91,762",29
mistermv,"90,709",53
DropsByPonk,"90,688",4
MarkiLokurasY,"90,383",32
Werlyb,"89,945",32
AntoineDanielLive,"89,614",53
ESL_DOTA2,"89,584",13
blxckoutz,"89,331",1
LPL,"89,253",10
dopa24,"89,008",15
scump,"88,973",0
Perxitaa,"88,798",32
dasMEHDI,"88,661",11
pgod,"87,900",32
roflgator,"87,855",11
Pimpeano,"87,844",32
Kitboga,"87,565",11
CriticalRole,"86,739",11
alexelcapo,"86,653",32
casimito,"86,203",1
TinaKitten,"86,039",29
Mois_Kid,"85,617",169
Hype,"85,211",143
loud_babi,"85,106",1
QuarterJade,"84,505",29
FaZeBlaze,"84,470",0
POW3Rtv,"84,457",155
TheRealKnossi,"84,334",169
Homyatol,"83,668",155
sapnapalt,"83,664",4
JLTomy,"83,421",53
chowh1,"83,131",53
JustaMinx,"82,697",4
Pieface23,"82,645",138
ElmiilloR,"82,093",32
xChocoBars,"82,023",29
AdmiralBahroo,"81,710",11
aircool,"81,656",0
scoped,"81,154",0
WankilStudio,"80,923",53
lol_woolf,"80,848",15
aroyitt,"80,724",32
XANTAREScN,"80,245",143
Etoiles,"80,203",53
EWROON,"80,197",13
aba4647,"77,885",15
gllobet25,"77,284",32
MarkitoNavaja,"76,990",32
ElcanaldeJoaco,"76,853",32
kkatamina,"76,691",29
biyin_,"76,679",32
fer,"76,659",1
k3soju,"75,917",10
FPSThailand,"75,769",235
miniminter,"75,608",138
Pengu,"75,567",27
W2S,"75,350",138
RevedTV,"75,132",169
CBLOL,"75,103",1
Moonryde,"74,359",155
Indiefoxx,"74,058",11
MacieJay,"73,975",27
yourragegaming,"73,168",0
paka9999,"72,665",15
BeyondTheSummit,"72,612",13
ReventXz,"72,574",32
SkyrrozTV,"72,205",53
Enviosity,"72,192",29
samueletienne,"71,988",53
PietSmiet,"71,892",169
goncho,"71,731",32
SPYGEA,"71,658",156
VALORANT,"71,544",9
Amouranth,"71,461",11
Mithrain,"71,367",143
Renata_Giovanna,"71,049",1
ESL_SC2,"70,818",10
Thijs,"70,685",10
dogdog,"70,683",10
orslok,"70,460",32
mcflyetcarlito,"70,242",53
SmallAnt,"69,382",107
caps,"68,559",10
Otzdarva,"68,433",31
HealthyGamer_GG,"68,420",11
Elwind,"68,108",143
hannahxxrose,"67,996",4
zilioner,"67,919",15
Staryuuki,"67,778",32
midbeast,"67,590",10
Jerma985,"67,010",11
Subroza,"66,047",9
westonkoury,"65,997",4
INSCOPE21TV,"65,806",169
SteveSuptic,"65,746",29
MYM_ALKAPONE,"65,360",32
ScreaM,"65,302",9
TeePee,"65,146",0
bateson87,"65,114",138
VALORANT_Esports_TR,"65,094",143
relaxing234,"64,550",132
Brunenger,"64,468",32
gafallen,"64,377",1
Freneh,"64,153",155
bRaTiShKiNoFf,"64,050",13
ElSpreen,"63,610",32
AdmiralBulldog,"63,319",13
Nightblue3,"63,044",10
repazmois,"63,016",169
Markiplier,"62,954",4
anders_vejrgang,"62,867",138
SolaryFortnite,"62,853",53
Syndicate,"62,681",0
PAGO3,"62,434",13
Anna_Chess,"62,345",107
AnthonyZ,"62,305",11
Xari,"62,199",53
koil,"61,829",11
PaymoneyWubby,"61,288",11
rewinside,"61,243",169
ybicanoooobov,"61,210",13
PGL_Dota2,"60,303",13
JoeWo,"60,302",0
Im_Dontai,"60,120",0
MenosTrece,"59,969",32
dinablin,"59,514",13
